transaction_id,customer_id,merchant_id,amount,status,failure_reason,balance_before,balance_after,merchant_balance,recommended_action,recovery_action,recovery_status,recovery_failure_reason,recovered_amount,recovery_balance_after,recovery_merchant_balance,recovery_probability,confidence,diagnosis,reason,error
TX-0001,C1028,MERCHANT,999,success,,18000.0,17001.0,999.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,17001.0,999.0,,,,,
TX-0002,C1049,MERCHANT,2499,failed,authentication_failed,25000.0,25000.0,999.0,REMINDER,REMINDER,REMINDER_SENT,,0,25000.0,63982.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0003,C1024,MERCHANT,7999,failed,payment_limit,18000.0,18000.0,999.0,ERROR,ERROR,BLOCKED,AI_DECISION_ERROR,0,18000.0,63982.0,,,,,AI returned no content
TX-0004,C1022,MERCHANT,499,failed,network_error,40000.0,40000.0,999.0,RETRY,RETRY,RECOVERED,,499,39501.0,64481.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0005,C1025,MERCHANT,9999,success,,25000.0,15001.0,10998.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,15001.0,10998.0,,,,,
TX-0006,C1046,MERCHANT,1499,failed,expired_card,12000.0,12000.0,10998.0,UPDATE_PAYMENT,UPDATE_PAYMENT,RECOVERED,,1499,502.0,65980.0,0.55,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended UPDATE_PAYMENT based on the failure reason and customer payment history.,
TX-0007,C1018,MERCHANT,9999,failed,payment_limit,18000.0,18000.0,10998.0,REMINDER,REMINDER,REMINDER_SENT,,0,15501.0,65980.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0008,C1013,MERCHANT,499,failed,payment_limit,25000.0,25000.0,10998.0,REMINDER,REMINDER,REMINDER_SENT,,0,25000.0,65980.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0009,C1015,MERCHANT,499,success,,40000.0,39501.0,11497.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,39501.0,11497.0,,,,,
TX-0010,C1047,MERCHANT,999,success,,5000.0,4001.0,12496.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,4001.0,12496.0,,,,,
TX-0011,C1001,MERCHANT,999,failed,authentication_failed,18000.0,18000.0,12496.0,REMINDER,REMINDER,REMINDER_SENT,,0,18000.0,65980.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0012,C1039,MERCHANT,499,failed,expired_card,25000.0,25000.0,12496.0,UPDATE_PAYMENT,UPDATE_PAYMENT,RECOVERED,,499,24501.0,66479.0,0.55,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended UPDATE_PAYMENT based on the failure reason and customer payment history.,
TX-0013,C1030,MERCHANT,1499,failed,authentication_failed,40000.0,40000.0,12496.0,ERROR,ERROR,BLOCKED,AI_DECISION_ERROR,0,40000.0,66479.0,,,,,AI returned no content
TX-0014,C1044,MERCHANT,1499,success,,8000.0,6501.0,13995.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,6501.0,13995.0,,,,,
TX-0015,C1012,MERCHANT,7999,success,,18000.0,10001.0,21994.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,10001.0,21994.0,,,,,
TX-0016,C1025,MERCHANT,999,failed,bank_declined,15001.0,15001.0,21994.0,RETRY,RETRY,RECOVERED,,999,14002.0,67478.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0017,C1001,MERCHANT,499,failed,authentication_failed,18000.0,18000.0,21994.0,REMINDER,REMINDER,REMINDER_SENT,,0,18000.0,67478.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0018,C1046,MERCHANT,9999,success,,12000.0,2001.0,31993.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,2001.0,31993.0,,,,,
TX-0019,C1025,MERCHANT,499,failed,bank_declined,15001.0,15001.0,31993.0,RETRY,RETRY,RECOVERED,,499,13503.0,67977.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0020,C1046,MERCHANT,4999,failed,insufficient_funds,2001.0,2001.0,31993.0,RETRY,RETRY,CURRENTLY_UNRECOVERABLE,insufficient_funds,0,502.0,67977.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0021,C1045,MERCHANT,499,success,,5000.0,4501.0,32492.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,4501.0,32492.0,,,,,
TX-0022,C1036,MERCHANT,2499,failed,network_error,8000.0,8000.0,32492.0,ERROR,ERROR,BLOCKED,AI_DECISION_ERROR,0,5501.0,67977.0,,,,,AI returned no content
TX-0023,C1044,MERCHANT,499,failed,network_error,6501.0,6501.0,32492.0,RETRY,RETRY,RECOVERED,,499,6002.0,68476.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0024,C1009,MERCHANT,4999,failed,bank_declined,8000.0,8000.0,32492.0,RETRY,RETRY,RECOVERED,,4999,1502.0,73475.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0025,C1023,MERCHANT,499,failed,network_error,40000.0,40000.0,32492.0,RETRY,RETRY,RECOVERED,,499,39501.0,73974.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0026,C1009,MERCHANT,1499,success,,8000.0,6501.0,33991.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,6501.0,33991.0,,,,,
TX-0027,C1005,MERCHANT,999,failed,payment_limit,12000.0,12000.0,33991.0,REMINDER,REMINDER,REMINDER_SENT,,0,12000.0,73974.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0028,C1040,MERCHANT,7999,success,,25000.0,17001.0,41990.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,17001.0,41990.0,,,,,
TX-0029,C1038,MERCHANT,4999,failed,network_error,12000.0,12000.0,41990.0,RETRY,RETRY,RECOVERED,,4999,7001.0,78973.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0030,C1003,MERCHANT,9999,failed,network_error,12000.0,12000.0,41990.0,RETRY,RETRY,RECOVERED,,9999,2001.0,88972.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0031,C1049,MERCHANT,1499,failed,payment_limit,25000.0,25000.0,41990.0,REMINDER,REMINDER,REMINDER_SENT,,0,25000.0,88972.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0032,C1035,MERCHANT,499,success,,12000.0,11501.0,42489.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,11501.0,42489.0,,,,,
TX-0033,C1018,MERCHANT,2499,success,,18000.0,15501.0,44988.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,15501.0,44988.0,,,,,
TX-0034,C1026,MERCHANT,2499,success,,25000.0,22501.0,47487.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,22501.0,47487.0,,,,,
TX-0035,C1021,MERCHANT,2499,success,,40000.0,37501.0,49986.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,37501.0,49986.0,,,,,
TX-0036,C1028,MERCHANT,2499,failed,payment_limit,17001.0,17001.0,49986.0,REMINDER,REMINDER,REMINDER_SENT,,0,17001.0,88972.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0037,C1017,MERCHANT,9999,failed,insufficient_funds,8000.0,8000.0,49986.0,RETRY,RETRY,CURRENTLY_UNRECOVERABLE,insufficient_funds,0,8000.0,88972.0,0.75,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended RETRY based on the failure reason and customer payment history.,
TX-0038,C1002,MERCHANT,499,success,,40000.0,39501.0,50485.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,39501.0,50485.0,,,,,
TX-0039,C1011,MERCHANT,1499,failed,expired_card,12000.0,12000.0,50485.0,ERROR,ERROR,BLOCKED,AI_DECISION_ERROR,0,12000.0,88972.0,,,,,AI returned no content
TX-0040,C1017,MERCHANT,1499,failed,payment_limit,8000.0,8000.0,50485.0,REMINDER,REMINDER,REMINDER_SENT,,0,8000.0,88972.0,0.6,0.85,Payment failure analyzed,AI analyzed the payment failure and recommended REMINDER based on the failure reason and customer payment history.,
TX-0041,C1007,MERCHANT,9999,success,,40000.0,30001.0,60484.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,30001.0,60484.0,,,,,
TX-0042,C1036,MERCHANT,2499,success,,8000.0,5501.0,62983.0,NOT_REQUIRED,NOT_REQUIRED,NOT_REQUIRED,,0,5501.0,62983.0,,,,,
